Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2016,March,2 Eastern, Benalla,891,6372.478901
2016,March,2 Eastern, Boroondara,6152,3470.294907
2016,March,2 Eastern, East Gippsland,3278,7188.596491
2016,March,2 Eastern, Greater Shepparton,5670,8713.425129
2016,March,2 Eastern, Indigo,383,2369.316424
2016,March,2 Eastern, Knox,7683,4791.304185
2016,March,2 Eastern, Latrobe,9372,12559.29887
2016,March,2 Eastern, Manningham,3403,2776.372685
2016,March,2 Eastern, Mansfield,416,4795.941895
2016,March,2 Eastern, Maroondah,6063,5281.358885
2016,March,2 Eastern, Mitchell,2981,7132.432109
2016,March,2 Eastern, Moira,1189,4032.422166
2016,March,2 Eastern, Monash,7876,4088.773524
2016,March,2 Eastern, Murrindindi,569,4049.245659
2016,March,2 Eastern, South Gippsland,893,3066.410274
2016,March,2 Eastern, Strathbogie,400,3862.122236
2016,March,2 Eastern, Towong,181,2993.714853
2016,March,2 Eastern, Wangaratta,1667,5830.302182
2016,March,2 Eastern, Wellington,3102,7126.119917
2016,March,2 Eastern, Whitehorse,5837,3440.795562
2016,March,2 Eastern, Wodonga,2567,6401.496259
2016,March,2 Eastern, Yarra Ranges,5737,3695.90146
2016,March,2 Eastern,Total,81313,4913.100958
2016,March,3 Southern Metro, Bayside,3827,3718.711132
2016,March,3 Southern Metro, Cardinia,4956,5079.273979
2016,March,3 Southern Metro, Casey,15785,5046.532966
2016,March,3 Southern Metro, Frankston,11181,8014.938854
2016,March,3 Southern Metro, Glen Eira,5207,3504.438597
2016,March,3 Southern Metro, Greater Dandenong,14062,8776.572506
2016,March,3 Southern Metro, Kingston,8365,5262.959211
2016,March,3 Southern Metro, Mornington Peninsula,8591,5318.582537
2016,March,3 Southern Metro, Port Phillip,9847,9064.965432
2016,March,3 Southern Metro, Stonnington,8047,7249.353621
2016,March,3 Southern Metro,Total,89868,5984.497363
2016,March,4 Western, Ararat,879,7484.03576
2016,March,4 Western, Ballarat,9034,8728.502415
2016,March,4 Western, Buloke,177,2816.677276
2016,March,4 Western, Campaspe,2518,6697.699162
2016,March,4 Western, Central Goldfields,911,6961.106442
2016,March,4 Western, Colac-Otway,1207,5650.220017
2016,March,4 Western, Corangamite,563,3466.108477
2016,March,4 Western, Gannawarra,440,4163.906501
2016,March,4 Western, Glenelg,1246,6305.987145
2016,March,4 Western, Golden Plains,600,2725.290698
2016,March,4 Western, Greater Bendigo,6639,5913.581017
2016,March,4 Western, Greater Geelong,16887,7050.085793
2016,March,4 Western, Hepburn,612,3942.028986
2016,March,4 Western, Hindmarsh,168,2904.564315
2016,March,4 Western, Horsham,2036,10239.38845
2016,March,4 Western, Loddon,309,4088.38317
2016,March,4 Western, Macedon Ranges,1617,3405.644482
2016,March,4 Western, Mildura,4700,8598.92422
2016,March,4 Western, Moorabool,1666,5099.167483
2016,March,4 Western, Mount Alexander,808,4231.031052
2016,March,4 Western, Moyne,427,2551.233793
2016,March,4 Western, Northern Grampians,824,7121.866897
2016,March,4 Western, Pyrenees,414,5658.829962
2016,March,4 Western, Queenscliffe,146,4984.636395
2016,March,4 Western, Southern Grampians,851,5278.174037
2016,March,4 Western, Surf Coast,1207,3961.923519
2016,March,4 Western, Swan Hill,1608,7695.25268
2016,March,4 Western, Warrnambool,2207,6445.301092
2016,March,4 Western, West Wimmera,115,2921.005842
2016,March,4 Western, Yarriambiack,331,4908.794305
2016,March,4 Western,Total,61147,6319.646124
2016,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,794,
2016,March,Justice Institutions and Immigration Facilities,Total,794,
2016,March,Unincorporated Vic, Unincorporated Vic,94,
2016,March,Unincorporated Vic,Total,94,
2015,March,1 North West Metro, Banyule,6577,5216.198211
2015,March,1 North West Metro, Brimbank,13733,6837.100468
2015,March,1 North West Metro, Darebin,10773,7088.712543
2015,March,1 North West Metro, Hobsons Bay,5373,5860.985667
2015,March,1 North West Metro, Hume,13486,6805.062167
2015,March,1 North West Metro, Maribyrnong,6436,7591.144451
2015,March,1 North West Metro, Melbourne,23674,17296.45216
2015,March,1 North West Metro, Melton,7501,5559.796909
2015,March,1 North West Metro, Moonee Valley,6488,5396.27883
2015,March,1 North West Metro, Moreland,10322,6148.805623
2015,March,1 North West Metro, Nillumbik,1653,2595.995289
2015,March,1 North West Metro, Whittlesea,10003,5081.611607
2015,March,1 North West Metro, Wyndham,10009,4681.149592
2015,March,1 North West Metro, Yarra,9696,10782.55841
2015,March,1 North West Metro,Total,135724,6862.70891
2015,March,2 Eastern, Alpine,299,2405.664173
2015,March,2 Eastern, Bass Coast,1897,5823.305501
2015,March,2 Eastern, Baw Baw,2297,4801.722516
2015,March,2 Eastern, Benalla,789,5666.882137
2015,March,2 Eastern, Boroondara,5639,3226.840169
2015,March,2 Eastern, East Gippsland,2940,6552.554159
2015,March,2 Eastern, Greater Shepparton,5576,8646.435826
2015,March,2 Eastern, Indigo,315,1978.394674
2015,March,2 Eastern, Knox,6933,4368.620038
2015,March,2 Eastern, Latrobe,8084,10885.19646
2015,March,2 Eastern, Manningham,3146,2604.628058
2015,March,2 Eastern, Mansfield,326,3821.805393
2015,March,2 Eastern, Maroondah,5613,4966.245808
2015,March,2 Eastern, Mitchell,2192,5444.069144
2015,March,2 Eastern, Moira,1078,3680.688337
2015,March,2 Eastern, Monash,6908,3651.664605
2015,March,2 Eastern, Murrindindi,478,3451.761987
2015,March,2 Eastern, South Gippsland,952,3307.737744
2015,March,2 Eastern, Strathbogie,322,3164.619165
2015,March,2 Eastern, Towong,141,2348.043297
2015,March,2 Eastern, Wangaratta,1634,5806.061898
2015,March,2 Eastern, Wellington,2868,6643.194663
2015,March,2 Eastern, Whitehorse,5647,3387.949292
2015,March,2 Eastern, Wodonga,2460,6271.830304
2015,March,2 Eastern, Yarra Ranges,5252,3423.929696
2015,March,2 Eastern,Total,73786,4526.070944
2015,March,3 Southern Metro, Bayside,3361,3318.916143
2015,March,3 Southern Metro, Cardinia,3942,4270.94845
2015,March,3 Southern Metro, Casey,13504,4508.426591
2015,March,3 Southern Metro, Frankston,10397,7545.540315
2015,March,3 Southern Metro, Glen Eira,4475,3066.664839
2015,March,3 Southern Metro, Greater Dandenong,12165,7795.028867
2015,March,3 Southern Metro, Kingston,7240,4633.777937
2015,March,3 Southern Metro, Mornington Peninsula,7366,4637.633711
2015,March,3 Southern Metro, Port Phillip,9138,8589.879772
2015,March,3 Southern Metro, Stonnington,7265,6725.108305
2015,March,3 Southern Metro,Total,78853,5392.200105
2015,March,4 Western, Ararat,860,7385.778083
2015,March,4 Western, Ballarat,7825,7710.954976
2015,March,4 Western, Buloke,200,3171.58262
2015,March,4 Western, Campaspe,2281,6094.205028
2015,March,4 Western, Central Goldfields,808,6239.382239
2015,March,4 Western, Colac-Otway,1055,4969.382949
2015,March,4 Western, Corangamite,445,2734.423006
2015,March,4 Western, Gannawarra,433,4109.719058
2015,March,4 Western, Glenelg,1404,7118.953453
2015,March,4 Western, Golden Plains,490,2291.004301
2015,March,4 Western, Greater Bendigo,6088,5539.178222
2015,March,4 Western, Greater Geelong,14779,6344.933584
2015,March,4 Western, Hepburn,500,3260.727794
2015,March,4 Western, Hindmarsh,152,2617.07989
2015,March,4 Western, Horsham,1672,8447.85772
2015,March,4 Western, Loddon,251,3332.890718
2015,March,4 Western, Macedon Ranges,1419,3059.970241
2015,March,4 Western, Mildura,4627,8543.836325
2015,March,4 Western, Moorabool,1517,4778.253748
2015,March,4 Western, Mount Alexander,682,3628.817708
2015,March,4 Western, Moyne,448,2700.259177
2015,March,4 Western, Northern Grampians,769,6604.259705
2015,March,4 Western, Pyrenees,352,4903.189859
2015,March,4 Western, Queenscliffe,106,3614.047051
2015,March,4 Western, Southern Grampians,679,4201.212721
2015,March,4 Western, Surf Coast,901,3041.350211
2015,March,4 Western, Swan Hill,1642,7859.091562
2015,March,4 Western, Warrnambool,2008,5905.013969
2015,March,4 Western, West Wimmera,80,2013.085053
2015,March,4 Western, Yarriambiack,207,3032.522707
2015,March,4 Western,Total,54680,5748.769923
2015,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,748,
2015,March,Justice Institutions and Immigration Facilities,Total,748,
2015,March,Unincorporated Vic, Unincorporated Vic,98,
2015,March,Unincorporated Vic,Total,98,
2014,March,1 North West Metro, Banyule,6839,5466.520658
2014,March,1 North West Metro, Brimbank,15090,7603.240825
2014,March,1 North West Metro, Darebin,10716,7167.365612
2014,March,1 North West Metro, Hobsons Bay,5444,6020.991628
2014,March,1 North West Metro, Hume,12655,6616.024843
2014,March,1 North West Metro, Maribyrnong,6943,8419.533609
2014,March,1 North West Metro, Melbourne,24833,19404.57121
2014,March,1 North West Metro, Melton,7195,5564.191201
2014,March,1 North West Metro, Moonee Valley,6371,5410.018427
2014,March,1 North West Metro, Moreland,9812,5979.317363
2014,March,1 North West Metro, Nillumbik,1597,2517.617013
2014,March,1 North West Metro, Whittlesea,10185,5420.46525
2014,March,1 North West Metro, Wyndham,10256,5089.523205
2014,March,1 North West Metro, Yarra,9791,11224.60678
2014,March,1 North West Metro,Total,137727,7186.523918
2014,March,2 Eastern, Alpine,355,2873.330635
2014,March,2 Eastern, Bass Coast,2079,6513.770091
2014,March,2 Eastern, Baw Baw,2251,4825.915445
2014,March,2 Eastern, Benalla,859,6180.745431
2014,March,2 Eastern, Boroondara,5967,3455.924939
2014,March,2 Eastern, East Gippsland,3047,6881.676717
2014,March,2 Eastern, Greater Shepparton,5347,8365.274801
2014,March,2 Eastern, Indigo,365,2320.111874
2014,March,2 Eastern, Knox,7315,4646.391504
2014,March,2 Eastern, Latrobe,7729,10425.7156
2014,March,2 Eastern, Manningham,3209,2686.772106
2014,March,2 Eastern, Mansfield,338,4026.206075
2014,March,2 Eastern, Maroondah,5847,5247.664264
2014,March,2 Eastern, Mitchell,2013,5150.445195
2014,March,2 Eastern, Moira,1164,4000
2014,March,2 Eastern, Monash,7078,3802.309965
2014,March,2 Eastern, Murrindindi,565,4128.004676
2014,March,2 Eastern, South Gippsland,894,3134.53245
2014,March,2 Eastern, Strathbogie,369,3683.369934
2014,March,2 Eastern, Towong,215,3594.11568
2014,March,2 Eastern, Wangaratta,1730,6209.173785
2014,March,2 Eastern, Wellington,2893,6736.052901
2014,March,2 Eastern, Whitehorse,5803,3531.523856
2014,March,2 Eastern, Wodonga,2348,6119.523574
2014,March,2 Eastern, Yarra Ranges,5294,3483.628132
2014,March,2 Eastern,Total,75074,4662.309531
2014,March,3 Southern Metro, Bayside,3420,3426.956722
2014,March,3 Southern Metro, Cardinia,4291,4872.260702
2014,March,3 Southern Metro, Casey,12311,4275.588063
2014,March,3 Southern Metro, Frankston,11252,8262.532952
2014,March,3 Southern Metro, Glen Eira,4649,3235.347335
2014,March,3 Southern Metro, Greater Dandenong,12605,8285.404411
2014,March,3 Southern Metro, Kingston,7520,4876.467155
2014,March,3 Southern Metro, Mornington Peninsula,7832,5004.472843
2014,March,3 Southern Metro, Port Phillip,8789,8414.471858
2014,March,3 Southern Metro, Stonnington,7427,7013.617391
2014,March,3 Southern Metro,Total,80096,5605.552363
2014,March,4 Western, Ararat,852,7370.242215
2014,March,4 Western, Ballarat,8177,8184.038273
2014,March,4 Western, Buloke,186,2936.069455
2014,March,4 Western, Campaspe,2150,5758.208795
2014,March,4 Western, Central Goldfields,802,6224.774915
2014,March,4 Western, Colac-Otway,1130,5347.593583
2014,March,4 Western, Corangamite,505,3090.575275
2014,March,4 Western, Gannawarra,444,4214.923106
2014,March,4 Western, Glenelg,1262,6388.256138
2014,March,4 Western, Golden Plains,393,1880.47275
2014,March,4 Western, Greater Bendigo,6143,5690.333935
2014,March,4 Western, Greater Geelong,14129,6203.895602
2014,March,4 Western, Hepburn,532,3503.688093
2014,March,4 Western, Hindmarsh,175,2994.524298
2014,March,4 Western, Horsham,1443,7307.06907
2014,March,4 Western, Loddon,259,3447.357913
2014,March,4 Western, Macedon Ranges,1465,3221.833696
2014,March,4 Western, Mildura,4711,8766.771498
2014,March,4 Western, Moorabool,1471,4735.080152
2014,March,4 Western, Mount Alexander,608,3286.308848
2014,March,4 Western, Moyne,460,2785.852713
2014,March,4 Western, Northern Grampians,679,5765.475079
2014,March,4 Western, Pyrenees,347,4924.081169
2014,March,4 Western, Queenscliffe,88,2962.962963
2014,March,4 Western, Southern Grampians,887,5456.782528
2014,March,4 Western, Surf Coast,1025,3549.90649
2014,March,4 Western, Swan Hill,1519,7254.059217
2014,March,4 Western, Warrnambool,1910,5662.782769
2014,March,4 Western, West Wimmera,136,3368.003962
2014,March,4 Western, Yarriambiack,214,3090.699018
2014,March,4 Western,Total,54102,5764.614249
2014,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1001,
2014,March,Justice Institutions and Immigration Facilities,Total,1001,
2014,March,Unincorporated Vic, Unincorporated Vic,67,
2014,March,Unincorporated Vic,Total,67,
2013,March,1 North West Metro, Banyule,5693,4579.532474
2013,March,1 North West Metro, Brimbank,15477,7889.625782
2013,March,1 North West Metro, Darebin,9205,6250.339508
2013,March,1 North West Metro, Hobsons Bay,5856,6565.905727
2013,March,1 North West Metro, Hume,11831,6399.528325
2013,March,1 North West Metro, Maribyrnong,7137,8945.626833
2013,March,1 North West Metro, Melbourne,24530,20663.62848
2013,March,1 North West Metro, Melton,6763,5456.848696
2013,March,1 North West Metro, Moonee Valley,6823,5909.201136
2013,March,1 North West Metro, Moreland,9507,5931.420871
2013,March,1 North West Metro, Nillumbik,1509,2388.640897
2013,March,1 North West Metro, Whittlesea,9715,5419.139631
2013,March,1 North West Metro, Wyndham,10677,5613.240033
2013,March,1 North West Metro, Yarra,8789,10467.83069
2013,March,1 North West Metro,Total,133512,7191.171005
2013,March,2 Eastern, Alpine,293,2385.41073
2013,March,2 Eastern, Bass Coast,1781,5684.465864
2013,March,2 Eastern, Baw Baw,2119,4644.179981
2013,March,2 Eastern, Benalla,768,5533.938608
2013,March,2 Eastern, Boroondara,5805,3404.991641
2013,March,2 Eastern, East Gippsland,2851,6507.795202
2013,March,2 Eastern, Greater Shepparton,4657,7363.544368
2013,March,2 Eastern, Indigo,339,2172.380647
2013,March,2 Eastern, Knox,6596,4218.820956
2013,March,2 Eastern, Latrobe,7487,10100.64217
2013,March,2 Eastern, Manningham,2868,2423.177336
2013,March,2 Eastern, Mansfield,255,3081.198647
2013,March,2 Eastern, Maroondah,5107,4651.98896
2013,March,2 Eastern, Mitchell,1927,5099.502488
2013,March,2 Eastern, Moira,1030,3563.397336
2013,March,2 Eastern, Monash,6482,3537.14769
2013,March,2 Eastern, Murrindindi,455,3354.715034
2013,March,2 Eastern, South Gippsland,927,3278.746507
2013,March,2 Eastern, Strathbogie,376,3810.682072
2013,March,2 Eastern, Towong,182,3053.178997
2013,March,2 Eastern, Wangaratta,1676,6061.482821
2013,March,2 Eastern, Wellington,2830,6624.37677
2013,March,2 Eastern, Whitehorse,5606,3458.764445
2013,March,2 Eastern, Wodonga,2441,6496.340652
2013,March,2 Eastern, Yarra Ranges,4970,3293.52825
2013,March,2 Eastern,Total,69828,4387.040676
2013,March,3 Southern Metro, Bayside,3413,3473.720637
2013,March,3 Southern Metro, Cardinia,3886,4593.869324
2013,March,3 Southern Metro, Casey,11747,4225.190002
2013,March,3 Southern Metro, Frankston,10433,7765.479974
2013,March,3 Southern Metro, Glen Eira,4599,3255.698712
2013,March,3 Southern Metro, Greater Dandenong,11815,7956.121803
2013,March,3 Southern Metro, Kingston,7122,4675.191682
2013,March,3 Southern Metro, Mornington Peninsula,7164,4651.917845
2013,March,3 Southern Metro, Port Phillip,8951,8762.089354
2013,March,3 Southern Metro, Stonnington,7115,6875.259694
2013,March,3 Southern Metro,Total,76245,5457.926825
2013,March,4 Western, Ararat,871,7580.504787
2013,March,4 Western, Ballarat,7783,7914.05678
2013,March,4 Western, Buloke,215,3365.685661
2013,March,4 Western, Campaspe,2187,5876.978475
2013,March,4 Western, Central Goldfields,808,6305.111198
2013,March,4 Western, Colac-Otway,1088,5172.331828
2013,March,4 Western, Corangamite,491,2992.078001
2013,March,4 Western, Gannawarra,401,3809.614288
2013,March,4 Western, Glenelg,1035,5228.064858
2013,March,4 Western, Golden Plains,395,1939.888027
2013,March,4 Western, Greater Bendigo,5735,5412.573025
2013,March,4 Western, Greater Geelong,13096,5863.259267
2013,March,4 Western, Hepburn,515,3428.305152
2013,March,4 Western, Hindmarsh,198,3383.458647
2013,March,4 Western, Horsham,1315,6677.160557
2013,March,4 Western, Loddon,325,4322.958234
2013,March,4 Western, Macedon Ranges,1326,2973.427514
2013,March,4 Western, Mildura,4484,8435.548198
2013,March,4 Western, Moorabool,1386,4557.711279
2013,March,4 Western, Mount Alexander,624,3419.740231
2013,March,4 Western, Moyne,492,2994.339967
2013,March,4 Western, Northern Grampians,663,5580.808081
2013,March,4 Western, Pyrenees,260,3747.477659
2013,March,4 Western, Queenscliffe,85,2831.445703
2013,March,4 Western, Southern Grampians,787,4811.984103
2013,March,4 Western, Surf Coast,1058,3748.05158
2013,March,4 Western, Swan Hill,1349,6422.891968
2013,March,4 Western, Warrnambool,1823,5454.327858
2013,March,4 Western, West Wimmera,121,2934.044617
2013,March,4 Western, Yarriambiack,265,3768.486917
2013,March,4 Western,Total,51181,5523.503028
2013,March,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,853,
2013,March,Justice Institutions and Immigration Facilities,Total,853,
2013,March,Unincorporated Vic, Unincorporated Vic,109,
2013,March,Unincorporated Vic,Total,109,
